wiki_id,alias
Q108219916,Florén-Winther i Älvsjö
Q1554742,Heckscher i Stockholm
Q1606431,Allard i Örebro
Q179493,Ohlin i Stockholm
Q2345137,Holmqvist i Kallhäll
Q2345137,Holmqvist i Malmö
Q3424655,Boheman i Gränna
Q4938354,Bergegren i Norrköping
Q4984675,Vinge i Nacka
Q5348198,Andreasson i Östra Ljungby
Q53707,Erlander i Lund
Q53740,Carlsson i Tyresö
Q5546257,Alexanderson i Lidingö
Q5551491,Adamsson i Malmö
Q5554059,Andersson i Örnsköldsvik
Q5557484,Annerås i Lindome
Q5561426,Aspling i Sundbyberg
Q5577506,Björk i Skärholmen
Q5577840,Björkman i Bromma
Q5621600,Dickson i Vikaryd
Q5715273,Ericsson i Kinna
Q5715273,Ericsson i Stockholm
Q5716662,Eriksson i Bäckmora
Q5781896,Hagberg i Malmö
Q5784568,Hallén i Arvika
Q5784568,Hallén i Torrskog
Q5886385,Johansson i Mysinge
Q5887636,Johansson i Ljungby
Q5887636,Johansson i Stockholm
Q5897318,Kaijser i Karlstad
Q5963832,Lothigius i Örserumsbrunn
Q6070749,Richardson i Skara
Q6146893,Lange i Stockholm
Q6151901,Malmborg i Skövde
Q6172705,Senander i Göteborg
Q6180020,Skoglund i Doverstorp
Q6180686,Sköld i Kämpinge
Q6180686,Sköld i Oxie
Q6180686,Sköld i Toftaröd
Q6195774,Sundelin i Fellingsbro
Q6199074,Svensson i Stenkyrka
Q6206899,Thapper i Finspång
Q6255268,Åkerlund i Lidingö
Q6257757,Österdahl i Visby
Q707581,Bengtsson i Varberg
