wiki_id,location
Q108219916,Älvsjö
Q116040430,Qvatroneröd
Q1554742,Stockholm
Q1606431,Örebro
Q179493,Stockholm
Q2345137,Kallhäll
Q2345137,Malmö
Q2954414,Huskvarna
Q3376192,Solna
Q3424655,Gränna
Q4938354,Norrköping
Q4984675,Nacka
Q514209,Rådom
Q5348198,Östra Ljungby
Q53707,Bromma
Q53707,Lund
Q53707,Stockholm
Q53740,Tyresö
Q5546257,Lidingö
Q5551491,Malmö
Q5554059,Örnsköldsvik
Q5557484,Lindome
Q5561426,Sundbyberg
Q5577506,Göteborg
Q5577506,Skärholmen
Q5577840,Bromma
Q5621600,Vikaryd
Q5715273,Kinna
Q5715273,Stockholm
Q5716662,Bäckmora
Q5777440,Göteborg
Q5781896,Malmö
Q5784568,Arvika
Q5784568,Torrskog
Q5789726,Göteborg
Q5802833,Stockholm
Q5886385,Mysinge
Q5887636,Ljungby
Q5887636,Stockholm
Q5887928,Jönköping
Q5897318,Karlstad
Q5937997,Lotorp
Q5938913,Staffanstorp
Q5954195,Gävle
Q5963832,Örserumsbrunn
Q6012223,Trobro
Q6027171,Järvsö
Q6070749,Skara
Q6070749,Skara)
Q6146893,Stockholm
Q6151901,Skövde
Q6156731,Farsta
Q6156731,Hammarbyhöjden
Q6156731,Johanneshov
Q6170780,Kalmar
Q6172705,Göteborg
Q6180020,Doverstorp
Q6180686,Kämpinge
Q6180686,Oxie
Q6180686,Toftaröd
Q6195774,Fellingsbro
Q6198452,Kungälv
Q6199074,Stenkyrka
Q6206899,Finspång
Q6255268,Lidingö
Q6257757,Visby
Q707581,Varberg
