wiki_id,start,end,role
Q6180020,1949,1949,andra kammarens andre vice talman
Q6180020,1949,1960,andra kammarens förste vice talman
Q6151901,1957,1960,andra kammarens andre vice talman
Q6195774,1959,1964,första kammarens talman
Q6151901,1961,1964,andra kammarens förste vice talman
Q6206899,1960,1968,andra kammarens talman
Q5886385,1959,1970,andre vice talman i första kammaren
Q3424655,1965,1970,första kammarens talman
Q1606431,1969,1970,andra kammarens talman
Q1606431,1971-01-11,1979-10-01,Sveriges riksdags talman
Q707581,1979-10-01,1988-10-03,Sveriges riksdags talman
